% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
0.121	1	1	13	2	2	28	9422	0	0
0.122	1	1	13	3	2	28	9422	0	0
0.123	1	1	13	4	2	28	9422	0	0
0.126	1	1	13	7	2	28	9422	0	0
0.128	1	1	13	9	2	28	9422	0	0
0.13	1	1	14	1	2	28	9422	0	0
0.132	1	1	14	3	2	28	9422	0	0
0.135	1	1	14	6	2	28	9422	0	0
0.137	1	1	14	8	2	28	9422	0	0
0.139	1	1	14	10	2	28	9422	0	0
0.141	1	1	15	2	2	28	9422	0	0
0.144	1	1	15	5	2	28	9422	0	0
0.146	1	1	15	7	2	28	9422	0	0
0.148	1	1	15	9	2	28	9422	0	0
0.15	1	1	16	1	2	28	9422	0	0
0.152	1	1	16	3	2	28	9422	0	0
0.155	1	1	16	6	2	28	9422	0	0
0.157	1	1	16	8	2	28	9422	0	0
0.159	1	1	16	10	2	28	9422	0	0
0.161	1	1	17	2	2	28	9422	0	0
0.164	1	1	17	5	2	28	9422	0	0
0.166	1	1	17	7	2	28	9422	0	0
0.168	1	1	17	9	2	28	9422	0	0
0.17	1	1	18	1	2	28	9422	0	0
0.173	1	1	18	4	2	28	9422	0	0
0.175	1	1	18	6	2	28	9422	0	0
0.177	1	1	18	8	2	28	9422	0	0
0.179	1	1	18	10	2	28	9422	0	0
0.182	1	1	19	3	2	28	9422	0	0
0.184	1	1	19	5	2	28	9422	0	0
0.186	1	1	19	7	2	28	9422	0	0
0.188	1	1	19	9	2	28	9422	0	0
0.191	1	1	20	2	2	28	9422	0	0
0.193	1	1	20	4	2	28	9422	0	0
0.195	1	1	20	6	2	28	9422	0	0
0.197	1	1	20	8	2	28	9422	0	0
0.2	1	1	21	1	2	28	9422	0	0
0.202	1	1	21	3	2	28	9422	0	0
0.204	1	1	21	5	2	28	9422	0	0
0.206	1	1	21	7	2	28	9422	0	0
0.208	1	1	21	9	2	28	9422	0	0
